workload,format,compression,frames,payload_bytes,fragments,deltas,payload_kbps,framed_kbps,encode_mean_us,decode_mean_us
drive,json-selected,zstd-3,320,315060,340,310,246.141,251.719,328.710,107.875
drive,binary-full,zstd-3,320,756721,960,0,591.188,606.938,158.256,145.256
drive,binary-delta,zstd-3,320,214714,340,310,167.745,173.323,186.048,85.112
drive,bit-full,zstd-3,320,786188,960,0,614.209,629.959,153.557,142.195
drive,bit-delta,zstd-3,320,200557,340,310,156.685,162.263,184.889,85.821
drive,fixed-full,zstd-3,320,664723,959,0,519.315,535.048,144.038,135.999
drive,fixed-delta,zstd-3,320,100371,339,310,78.415,83.977,170.679,79.228
drive,fixed-fine-delta,zstd-3,320,100371,339,310,78.415,83.977,170.791,79.559
drive,fixed-chassis-delta,zstd-3,320,100371,339,310,78.415,83.977,170.096,79.158
drive,json-full,zstd-dict-3,320,292200,320,0,228.281,233.531,64.488,126.313
drive,json-selected,zstd-dict-3,320,219988,320,310,171.866,177.116,320.157,108.339
drive,binary-full,zstd-dict-3,320,607852,640,0,474.884,485.384,158.585,145.323
drive,binary-delta,zstd-dict-3,320,219220,330,310,171.266,176.680,186.258,85.439
drive,bit-full,zstd-dict-3,320,628450,640,0,490.977,501.477,159.036,145.555
drive,bit-delta,zstd-dict-3,320,197700,330,310,154.453,159.867,196.256,96.453
drive,fixed-full,zstd-dict-3,320,545386,640,0,426.083,436.583,148.903,142.016
drive,fixed-delta,zstd-dict-3,320,98347,330,310,76.834,82.248,182.764,89.133
drive,fixed-fine-delta,zstd-dict-3,320,98347,330,310,76.834,82.248,209.593,101.611
drive,fixed-chassis-delta,zstd-dict-3,320,98347,330,310,76.834,82.248,175.303,84.255
drive,binary-full,zstd-retrained-3,320,211696,320,0,165.387,170.637,156.017,149.314
drive,binary-delta,zstd-retrained-3,320,188389,320,283,147.179,152.429,184.813,96.353
drive,bit-full,zstd-retrained-3,320,229171,320,0,179.040,184.290,151.624,144.818
drive,bit-delta,zstd-retrained-3,320,184983,320,299,144.518,149.768,176.248,87.038
drive,fixed-full,zstd-retrained-3,320,136652,320,0,106.759,112.009,135.334,133.315
drive,fixed-delta,zstd-retrained-3,320,84763,320,310,66.221,71.471,161.608,79.773
drive,fixed-fine-delta,zstd-retrained-3,320,84500,320,310,66.016,71.266,169.071,83.863
drive,fixed-chassis-delta,zstd-retrained-3,320,84966,320,310,66.380,71.630,161.548,79.554
twelve,json-full,none,320,11366586,11513,0,8880.145,9069.030,193.158,400.156
twelve,binary-full,none,320,9499662,9600,0,7421.611,7579.111,457.147,438.506
twelve,binary-delta,none,320,1692937,1878,310,1322.607,1353.418,542.025,279.595
twelve,bit-full,none,320,9283982,9592,0,7253.111,7410.480,461.374,448.645
twelve,bit-delta,none,320,1170146,1286,310,914.177,935.275,528.877,274.122
twelve,fixed-full,none,320,7424701,7677,0,5800.548,5926.498,418.281,408.153
twelve,fixed-delta,none,320,525690,599,310,410.695,420.523,492.985,254.726
twelve,fixed-fine-delta,none,320,525690,599,310,410.695,420.523,490.457,254.869
twelve,fixed-chassis-delta,none,320,525690,599,310,410.695,420.523,496.468,255.623
twelve,json-full,deflate-1,320,2003415,2207,0,1565.168,1601.377,261.238,451.799
twelve,json-selected,deflate-1,320,1135724,1300,310,887.284,908.612,1238.986,385.276
twelve,binary-full,deflate-1,320,1435069,1599,0,1121.148,1147.381,495.673,471.277
twelve,binary-delta,deflate-1,320,715742,948,310,559.173,574.727,600.886,299.567
twelve,bit-full,deflate-1,320,1465361,1599,0,1144.813,1171.047,493.134,475.213
twelve,bit-delta,deflate-1,320,786242,979,310,614.252,630.313,583.479,289.540
twelve,fixed-full,deflate-1,320,1080041,1280,0,843.782,864.782,457.090,442.665
twelve,fixed-delta,deflate-1,320,259008,361,310,202.350,208.273,537.683,266.910
twelve,fixed-fine-delta,deflate-1,320,259008,361,310,202.350,208.273,551.511,273.178
twelve,fixed-chassis-delta,deflate-1,320,259008,361,310,202.350,208.273,540.817,268.167
twelve,json-full,zstd-3,320,1260228,1372,0,984.553,1007.062,223.509,415.728
twelve,json-selected,zstd-3,320,692130,944,310,540.727,556.214,1171.367,361.029
twelve,binary-full,zstd-3,320,1128868,1279,0,881.928,902.912,493.871,460.260
twelve,binary-delta,zstd-3,320,616424,704,310,481.581,493.131,646.336,337.808
twelve,bit-full,zstd-3,320,1164078,1279,0,909.436,930.420,514.079,486.095
twelve,bit-delta,zstd-3,320,769073,967,310,600.838,616.703,575.433,284.817
twelve,fixed-full,zstd-3,320,807144,960,0,630.581,646.331,486.147,467.050
twelve,fixed-delta,zstd-3,320,245334,351,310,191.667,197.426,544.577,275.770
twelve,fixed-fine-delta,zstd-3,320,245334,351,310,191.667,197.426,531.979,268.236
twelve,fixed-chassis-delta,zstd-3,320,245334,351,310,191.667,197.426,541.678,274.431
twelve,json-full,zstd-dict-3,320,762530,958,0,595.727,611.444,245.474,434.514
twelve,json-selected,zstd-dict-3,320,613047,671,310,478.943,489.952,1243.892,384.453
twelve,binary-full,zstd-dict-3,320,998315,1245,0,779.934,800.359,512.923,478.748
twelve,binary-delta,zstd-dict-3,320,629744,754,310,491.988,504.358,652.573,330.788
twelve,bit-full,zstd-dict-3,320,1018021,1257,0,795.329,815.952,605.514,582.492
twelve,bit-delta,zstd-dict-3,320,775200,967,310,605.625,621.490,696.580,355.470
twelve,fixed-full,zstd-dict-3,320,650775,954,0,508.418,524.070,471.997,454.153
twelve,fixed-delta,zstd-dict-3,320,244156,351,310,190.747,196.505,562.610,286.046
twelve,fixed-fine-delta,zstd-dict-3,320,244156,351,310,190.747,196.505,563.587,285.804
twelve,fixed-chassis-delta,zstd-dict-3,320,244156,351,310,190.747,196.505,558.538,283.167
twelve,binary-full,zstd-retrained-3,320,584874,639,0,456.933,467.416,505.901,474.339
twelve,binary-delta,zstd-retrained-3,320,579146,639,64,452.458,462.941,601.104,434.602
twelve,bit-full,zstd-retrained-3,320,585907,640,0,457.740,468.240,503.406,474.715
twelve,bit-delta,zstd-retrained-3,320,585932,640,0,457.759,468.259,612.017,482.466
twelve,fixed-full,zstd-retrained-3,320,267332,320,0,208.853,214.103,481.626,478.235
twelve,fixed-delta,zstd-retrained-3,320,219755,320,174,171.684,176.934,602.179,408.074
twelve,fixed-fine-delta,zstd-retrained-3,320,219251,320,175,171.290,176.540,644.867,436.745
twelve,fixed-chassis-delta,zstd-retrained-3,320,221410,320,174,172.977,178.227,538.092,349.809
fire,json-full,none,320,4211034,4300,0,3289.870,3360.417,74.702,161.220
fire,binary-full,none,320,3556979,3696,0,2778.890,2839.527,184.703,186.515
fire,binary-delta,none,320,1077936,1213,310,842.138,862.038,229.595,127.899
fire,bit-full,none,320,3427873,3648,0,2678.026,2737.876,170.928,172.397
fire,bit-delta,none,320,826181,949,310,645.454,661.023,220.549,125.017
fire,fixed-full,none,320,2667128,2808,0,2083.694,2129.762,156.882,161.458
fire,fixed-delta,none,320,453626,633,310,354.395,364.780,204.590,115.285
fire,fixed-fine-delta,none,320,480295,638,310,375.230,385.698,204.207,117.873
fire,fixed-chassis-delta,none,320,704566,886,310,550.442,564.978,204.249,114.705
fire,json-full,deflate-1,320,1366905,1519,0,1067.895,1092.816,119.601,189.217
fire,json-selected,deflate-1,320,768616,907,310,600.481,615.362,461.022,162.328
fire,binary-full,deflate-1,320,1390203,1500,0,1086.096,1110.705,200.917,192.879
fire,binary-delta,deflate-1,320,764228,882,310,597.053,611.523,262.419,131.366
fire,bit-full,deflate-1,320,1390263,1504,0,1086.143,1110.818,195.404,190.347
fire,bit-delta,deflate-1,320,703358,869,310,549.498,563.755,255.386,126.988
fire,fixed-full,deflate-1,320,952094,1178,0,743.823,763.150,178.526,179.267
fire,fixed-delta,deflate-1,320,322116,550,310,251.653,260.677,227.053,116.992
fire,fixed-fine-delta,deflate-1,320,369113,572,310,288.370,297.754,228.796,115.200
fire,fixed-chassis-delta,deflate-1,320,606351,823,310,473.712,487.214,254.094,126.068
fire,json-full,zstd-3,320,1158497,1240,0,905.076,925.420,103.204,172.372
